Date,Ticker,AAPL,AMZN,GOOGL,JPM,MA,MSFT,NVDA,SPY,V,XOM
2015-01-02,Close,24.214887619018555,15.425999641418457,26.27894401550293,46.51114273071289,79.98552703857422,39.76768112182617,0.483011394739151,170.58956909179688,61.21474838256836,57.53342819213867
2015-01-02,High,24.682219794999646,15.737500190734863,26.58910055297391,46.86096055511113,81.55387098530426,40.32898703317074,0.48661061061088934,171.79366278013038,61.614349135784344,57.66977877044138
2015-01-02,Low,23.776347804050697,15.347999572753906,26.196068386511584,46.198536366755725,79.27603624491972,39.58058131421902,0.4753331056845062,169.5515660300858,60.630365146951846,56.90125818882328
2015-01-02,Open,24.67114490010671,15.628999710083008,26.430298664187116,46.28040952967949,80.91906493252473,39.68263604966488,0.483011394739151,171.37846155544597,60.83594217894731,57.1739593454287
2015-01-02,Volume,212818400.0,55664000.0,26480000.0,12600000.0,4505800.0,27913900.0,113680000.0,121465900.0,8389600.0,10220400.0
2015-01-05,Close,23.5327205657959,15.10949993133545,25.77822494506836,45.06718826293945,77.73570251464844,39.40198516845703,0.4748532176017761,167.50881958007812,59.86350631713867,55.959205627441406
2015-01-05,High,24.064283533005238,15.418999671936035,26.201526888631296,46.35482188882137,79.67746317379522,39.74216870526906,0.4844510788762667,169.709381481765,60.86365357605072,57.26692471960485
2015-01-05,Low,23.34667445665828,15.042499542236328,25.693367301046194,44.82901342111552,77.5303301469468,39.33394651453768,0.4726937166923893,167.20157466159998,59.79420760548935,55.46958525719442
2015-01-05,Open,23.984549003434232,15.350500106811523,26.159842033382823,46.19107845960997,79.6214531755429,39.436001251155126,0.4830113925341437,169.5433034899103,60.86134150429597,57.0809912575166
2015-01-05,Volume,257142000.0,55484000.0,41182000.0,20100600.0,6441400.0,39673900.0,197952000.0,169632600.0,12751200.0,18502400.0
2015-01-06,Close,23.534931182861328,14.76449966430664,25.14203453063965,43.898651123046875,77.56766510009766,38.82368469238281,0.46045637130737305,165.93106079101562,59.47776794433594,55.661720275878906
2015-01-06,High,23.79406750731669,15.149999618530273,25.86506993560834,45.216057586018415,78.21180856684664,39.75919383792292,0.47605284610191945,168.3392233667999,60.23538738609409,56.65335923139143
2015-01-06,Low,23.17391055446403,14.619000434875488,25.08794265394188,43.42974306419664,76.36340740831467,38.730133128976235,0.45997648549599146,165.13386868532214,58.86797660037206,55.17209984192797
2015-01-06,Open,23.59694654018824,15.112000465393066,25.82983657629222,45.134184434871855,78.0997885707716,39.44452305177039,0.47557296029053786,167.81606565147172,60.00671783492005,55.928222417688026
2015-01-06,Volume,263188400.0,70380000.0,54456000.0,29074100.0,7690000.0,36447900.0,197764000.0,209151400.0,11070000.0,16670700.0
2015-01-07,Close,23.86495018005371,14.920999526977539,25.068092346191406,43.96562957763672,78.77425384521484,39.31694030761719,0.4592568576335907,167.99874877929688,60.274658203125,56.22572326660156
2015-01-07,High,23.964617509529127,15.064000129699707,25.382714585800812,44.57595297399143,78.8303719031851,39.51254658843973,0.4678949207004588,168.33921688794462,60.31854527604238,56.696751366455345
2015-01-07,Low,23.632390824888006,14.766500473022461,24.993655911052315,43.66790960119964,77.69861253900575,38.687598924842355,0.45781717092117774,166.81127913768793,59.466222511067755,55.779486617107004
2015-01-07,Open,23.743133053101715,14.875,25.355918529256122,44.57595297399143,78.66201059320392,39.10432436181939,0.4638158178832236,167.2596909686122,59.694892065426856,56.18233941059435
2015-01-07,Volume,160423600.0,52806000.0,46918000.0,23843200.0,5846800.0,29114100.0,321808000.0,125346700.0,9346800.0,13590700.0
2015-01-08,Close,24.78190040588379,15.02299976348877,25.155433654785156,44.94811248779297,79.9995346069336,40.47357177734375,0.47653287649154663,170.9799346923828,61.083072662353516,57.161556243896484
2015-01-08,High,24.83948684864479,15.156999588012695,25.184711493728862,45.32770569229681,80.08371881830216,40.60964585357478,0.47941224944100996,171.19584753387758,61.23782635074272,57.186342955285966
2015-01-08,Low,24.075364314823897,14.805500030517578,24.56539035849883,44.635508991631035,79.5318651590866,39.733669190603884,0.4642956272677284,169.39387494423588,60.66268455685312,56.39923483536912
2015-01-08,Open,24.192752518473185,15.015999794006348,24.887457945151546,44.635508991631035,79.68152280771098,39.759182066065364,0.46453558454811705,169.41047387747284,60.79434572983908,56.55417778821354
2015-01-08,Volume,237458000.0,61768000.0,73054000.0,16971100.0,5174200.0,29645200.0,283780000.0,147217800.0,10443200.0,15487500.0
2015-01-09,Close,24.808469772338867,14.846500396728516,24.84825325012207,44.16659164428711,78.98001861572266,40.13338088989258,0.47845253348350525,169.60972595214844,60.17763900756836,57.080970764160156
2015-01-09,High,25.083109973520873,15.143500328063965,25.239299626508316,45.24582304664595,80.43914500908949,40.66917393001776,0.4820517503064491,171.41169801947515,61.087707121485394,57.5024156955655
2015-01-09,Low,24.409797149823067,14.833999633789062,24.745530930705662,44.1293773557785,78.94260420357614,39.88674888219443,0.47173404308701905,168.99522348508043,60.00209072701602,56.628540085854254
2015-01-09,Open,24.954648607400006,15.074000358581543,25.218457197288135,45.19372247488027,80.41108598399697,40.49057733139655,0.47821260476451255,171.39508642011177,60.88905926996575,57.20492793721035
